Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	49584003	+131460	805134	+1658	39318563	+81829	9460306	13343	148564	2412	755685902	2264195	333754810	North America
India	34606541	+9765	469724	+477	34028506	+10207	108311	8944	24732	336	642412315	459117	1399235464	Asia
Brazil	22105872	+11413	615020	+266	21339118	+17487	151734	8318	102961	2865	63776166	297046	214701617	South America
UK	10275129	+48081	145140	+171	9095983	+33422	1034006	916	150239	2122	363637864	5316990	68391673	Europe
Russia	9669718	+32837	276419	+1226	8364932	+35679	1028367	2300	66220	1893	225500000	1544275	146023223	Europe
Turkey	8818144	+22556	77038	+196	8350494	+24113	390612	1405	102985	900	108036172	1261732	85625303	Asia
France	7725114	+49610	119227	+96	7137512	+12488	468375	1886	117980	1821	162981031	2489082	65478363	Europe
Iran	6121757	+4312	129912	+82	5892574	+9104	99271	4312	71586	1519	38439240	449496	85516321	Asia
Germany	5953310	+71887	102552	+415	4937600	+44300	913158	4636	70735	1218	83816414	995872	84163880	Europe
Argentina	5332629	+1881	116597	+8	5194780	+1089	21252	632	116475	2547	26260861	573586	45783654	South America
Spain	5174720	+10536	88080	+28	4924551	+1411	162089	741	110617	1883	66213858	1415417	46780466	Europe
Colombia	5071817	+2173	128586	+58	4911593	+2021	31638	342	98193	2489	28160705	545205	51651557	South America
Italy	5043624	+15089	133931	+93	4709906	+9457	199787	686	83593	2220	119905510	1987306	60335704	Europe
Indonesia	4256687	+278	143840	+10	4104964	+307	7883	N/A	15333	518	54746617	197198	277622982	Asia
Mexico	3887873	+3307	294246	+296	3245219	+2272	348408	4798	29712	2249	11861186	90645	130852697	North America
Poland	3569135	+29062	84154	+571	3048528	+10077	436453	1870	94452	2227	24433048	646585	37787809	Europe
Ukraine	3450341	+11960	86532	+557	2972192	+26160	391617	177	79573	1996	15917165	367085	43360950	Europe
South Africa	2976613	+8561	89871	+28	2850142	+584	36600	546	49308	1489	19529031	323498	60368296	Africa
Philippines	2832909	+371	48712	+167	2768839	+791	15358	1023	25374	436	24238501	217098	111647653	Asia
Netherlands	2661691	+18515	19459	+45	2120332	+7629	521900	605	154852	1132	19205114	1117314	17188644	Europe
Malaysia	2638221	+5439	30474	+49	2544007	+6803	63740	500	80059	925	37882464	1149570	32953607	Asia
Peru	2237842	+1491	201209	+33	N/A	N/A	N/A	978	66558	5984	20363118	605638	33622605	South America
Czechia	2172256	+21988	33271	+114	1872317	+601	266668	1069	202312	3099	43809304	4080158	10737159	Europe
Thailand	2120758	+4886	20812	+43	2025754	+6326	74192	1369	30276	297	14913135	212898	70048383	Asia
Iraq	2082061	+889	23844	+24	2046224	+1203	11993	103	50170	575	16363328	394297	41500033	Asia
Canada	1795629	+3129	29714	+27	1739899	+2643	26016	497	46992	778	48895595	1279613	38211249	North America
Romania	1780808	+1141	56649	+79	1689184	+2432	34975	1121	93453	2973	16037036	841592	19055592	Europe
Belgium	1766035	+16566	27015	+49	1340916	+7106	398104	760	151446	2317	24726131	2120385	11661149	Europe
Chile	1764274	+1523	38356	+10	1658440	+1735	67478	688	91183	1982	25644143	1325360	19348816	South America
