Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	81959180	+35068	1010762	+629	66104220	+129250	14844198	1734	245073	3022	988292611	2955181	334427063	North America
India	43031958	+1033	521560	+42	42498789	+1222	11609	8944	30651	371	792027412	564146	1403939582	Asia
Brazil	30067249	+27120	660782	+196	28942887	+50534	463580	8318	139701	3070	63776166	296323	215225111	South America
France	26390471	+161950	142912	+128	23717410	+101618	2530149	1541	402734	2181	254106036	3877804	65528336	Europe
Germany	22164060	+204930	131516	+333	17675700	+268000	4356844	2494	263054	1561	104701826	1242654	84256598	Europe
UK	21482591	+47948	169095	+233	19406489	+70143	1907007	364	313545	2468	508482100	7421454	68515161	Europe
Russia	17940765	+14661	370602	+291	17070642	+35306	499521	2300	122844	2538	273400000	1872028	146044862	Europe
Italy	15036470	+69805	160973	+150	13601404	+69837	1274093	466	249340	2669	204697383	3394370	60304976	Europe
Turkey	14929905	+10314	98275	+41	14612379	+14332	219251	975	173725	1144	155184781	1805733	85940035	Asia
S. Korea	14553644	+286243	18033	+371	N/A	N/A	N/A	1128	283437	351	15804065	307789	51347030	Asia
Spain	11594931	+16278	102866	+119	11009561	+11880	482504	420	247825	2199	471036328	10067734	46786728	Europe
Vietnam	10024806	+49342	42712	+31	8277563	+130273	1704531	1577	101380	432	84789075	857463	98883664	Asia
Argentina	9047408	+2082	128144	+38	8874269	+1611	44995	466	196994	2790	35535639	773735	45927421	South America
Netherlands	7948142	+13085	22058	+21	6749606	+64427	1176478	120	462054	1282	21107399	1227049	17201762	Europe
Iran	7180008	+4228	140451	+44	6900097	+4136	139460	1483	83596	1635	49358909	574680	85889353	Asia
Japan	6778235	+42315	28387	+60	6286380	+40553	463468	508	53884	226	44088712	350485	125793403	Asia
Colombia	6086811	+327	139687	+9	5919925	+216	27199	342	117416	2695	34048606	656806	51839636	South America
Indonesia	6026324	+2400	155464	+43	5788714	+5415	82146	2771	21629	558	92754690	332900	278625997	Asia
Poland	5973553	+1567	115472	+77	5333566	N/A	524515	268	158141	3057	35788005	947437	37773481	Europe
Mexico	5671144	+4223	323318	+83	4970248	+4408	377578	4798	43185	2462	15617943	118928	131322449	North America
Ukraine	4977998	+2161	108076	+35	N/A	N/A	N/A	177	115044	2498	19521252	451147	43270260	Europe
Australia	4847725	+62046	6462	+27	4360305	+67753	480958	104	186295	248	67214128	2582992	26021808	Australia/Oceania
Malaysia	4280591	+12105	35192	+32	4083183	+21029	162216	221	129333	1063	57090261	1724912	33097496	Asia
