Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	80849953	+53838	982032	+1389	54222911	+191175	25645010	7025	241887	2938	954534876	2855776	334247090	North America
India	42951556	+6396	514620	+201	42367070	+13450	69866	8944	30621	367	770050005	548985	1402680212	Asia
Brazil	28906214	+64054	650646	+594	26810286	+142276	1445282	8318	134394	3025	63776166	296516	215084963	South America
France	22900531	+60225	138942	+180	21364892	+131190	1396697	2484	349547	2121	246629975	3764483	65514958	Europe
UK	19074441	+45571	161898	+194	17537214	N/A	1375329	279	278532	2364	484240712	7071055	68482101	Europe
Russia	16685850	+93026	354011	+781	14102684	+170689	2229155	2300	114256	2424	273400000	1872102	146039069	Europe
Germany	15375508	+202338	124265	+289	11696600	+226300	3554643	2494	182538	1475	104701826	1243021	84231776	Europe
Turkey	14255545	+49424	95025	+188	13572870	+66873	587650	1011	166041	1107	145020155	1689114	85855776	Asia
Italy	12910764	+41758	155399	+185	11713645	+62551	1041720	654	214062	2577	188713837	3128898	60313202	Europe
Spain	11078028	+23140	100239	+202	9800509	+60554	1177280	890	236786	2143	471036328	10068095	46785052	Europe
Argentina	8921536	+9219	126531	+141	8705178	+10670	89827	1076	194416	2757	34379641	749192	45888932	South America
Iran	7073747	+6772	137439	+172	6696494	+18416	239814	4098	82455	1602	47494176	553613	85789486	Asia
Netherlands	6504886	+58283	21589	+7	4653122	+114923	1830175	164	378230	1255	21107399	1227299	17198250	Europe
Colombia	6068074	+1051	138939	+40	5895880	+1891	33255	342	117169	2683	33281725	642637	51789284	South America
Poland	5708833	+14074	112130	+266	5099515	+12389	497188	696	151118	2968	33881265	896868	37777317	Europe
Indonesia	5667355	+37259	149268	+232	4986391	+42154	531696	2911	20360	536	86075507	309226	278357473	Asia
Mexico	5534086	+12342	318835	+304	4809799	+13721	405452	4798	42182	2430	15147396	115456	131196689	North America
Japan	5139305	+71570	24092	+232	4419826	+74909	695387	1418	40843	191	39385361	313006	125829212	Asia
Ukraine	4809624	N/A	105505	N/A	4058020	N/A	646099	177	111091	2437	19521252	450894	43294540	Europe
Vietnam	3973833	+121487	40547	+95	2550525	+33740	1382761	3840	40220	410	79665130	806308	98802388	Asia
S. Korea	3691488	+198802	8394	+128	969524	N/A	2713570	766	71899	163	15804065	307814	51342944	Asia
South Africa	3679539	+1853	99499	+41	3554282	+1494	25758	546	60760	1643	23166727	382553	60558288	Africa
Philippines	3664894	+978	56538	+34	3557685	+1125	50671	297	32717	505	28203435	251775	112018293	Asia
Israel	3653608	+2377	10239	+2	3585292	+7460	58077	510	391766	1098	41373364	4436346	9326000	Asia
Czechia	3608606	+8966	38843	+45	3474284	+5835	95479	197	335928	3616	52741015	4909707	10742192	Europe
Belgium	3571579	+7738	30217	+18	3125040	+60907	416322	240	305945	2588	31794693	2723562	11673937	Europe
Malaysia	3528557	+32467	33028	+86	3197298	+27629	298231	355	106735	999	50211993	1518861	33058975	Asia
