Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	82037670	+36379	1011976	+564	79813355	+49262	1212339	1716	245300	3026	990701817	2962292	334437650	North America
India	43034217	+1150	521686	+82	42501196	+1194	11335	8944	30651	372	792963033	564783	1404013663	Asia
Brazil	30123963	+29575	661182	+147	29001370	+24973	461411	8318	139960	3072	63776166	296312	215233355	South America
France	26698031	+148768	143156	+139	23912860	+97999	2642015	1541	407422	2185	260504402	3975399	65529123	Europe
Germany	22534061	+169454	132141	+336	18168200	+237300	4233720	2494	267441	1568	122332384	1451878	84258058	Europe
UK	21549830	+25305	169759	+347	19532167	+61669	1847904	357	314518	2478	509604812	7437629	68517106	Europe
Russia	17969431	+14311	371169	+280	17143630	+37684	454632	2300	123040	2541	273400000	1872023	146045203	Europe
Italy	15174136	+66964	160546	+144	13763554	+70946	1250036	462	251625	2662	205609215	3409517	60304492	Europe
S. Korea	14983694	+205289	18754	+373	N/A	N/A	N/A	1093	291811	365	15804065	307788	51347270	Asia
Turkey	14946379	+7120	98342	+31	14634481	+11217	213556	975	173906	1144	155597564	1810432	85944992	Asia
Spain	11627487	+16278	103104	+119	11033321	+11880	491062	371	248521	2204	471036328	10067713	46786827	Europe
Vietnam	10135789	+39334	42768	+35	8455675	+60609	1637346	1797	102497	432	84898827	858531	98888445	Asia
Argentina	9051243	+1993	128194	+36	8880138	+2801	42911	429	197067	2791	35585583	774784	45929685	South America
Netherlands	7971855	+10903	22080	+14	6890044	+74228	1059731	122	463427	1284	21107399	1227034	17201968	Europe
Iran	7186992	+3184	140528	+36	6909967	+5234	136497	1594	83672	1636	49358909	574641	85895228	Asia
Japan	6887421	+55044	28528	+72	6369339	+40322	489554	484	54753	227	44376538	352779	125791297	Asia
Colombia	6087443	+320	139703	+10	5920596	+367	27144	342	117422	2695	34099595	657752	51842598	South America
Indonesia	6030168	+1755	155556	+47	5798044	+3442	76568	2771	21641	558	92947569	333574	278641793	Asia
Poland	5976359	+1325	115594	+58	5333693	+63	527072	268	158217	3060	35827025	948476	37773256	Europe
Mexico	5715504	+32216	323508	+105	5014280	+31992	377716	4798	43520	2463	15645671	119133	131329847	North America
Ukraine	4982249	+2025	108118	+20	N/A	N/A	N/A	177	115146	2499	19521252	451162	43268832	Europe
Australia	4970754	+59029	6526	+31	4476602	+55779	487626	93	191011	251	67474141	2592823	26023424	Australia/Oceania
Malaysia	4307529	+14944	35259	+31	4113831	+14045	158439	206	130138	1065	57291591	1730876	33099762	Asia
Israel	3987834	+5303	10559	N/A	3923114	+12571	54161	226	427604	1132	41373364	4436346	9326000	Asia
Austria	3964246	+14085	16168	+27	3729061	+27857	219017	203	435759	1777	178678948	19640788	9097341	Europe
Belgium	3915732	N/A	30997	N/A	3570719	+3690	314016	176	335283	2654	33120016	2835888	11678886	Europe
Czechia	3855938	+4979	39862	+23	3764033	+10946	52043	92	358888	3710	54871748	5107132	10744141	Europe
Thailand	3833048	+25140	25880	+89	3558917	+24854	248251	1496	54672	369	17270775	246338	70109942	Asia
South Africa	3730066	+1377	100084	+9	3617624	+2093	12358	546	61520	1651	24019672	396156	60631833	Africa
Philippines	3680799	+287	59660	+69	3590615	+1164	30524	289	32817	532	29110370	259539	112161766	Asia
Portugal	3667184	+9413	21874	+22	N/A	N/A	N/A	61	361509	2156	40384633	3981097	10144096	Europe
Canada	3560840	+8557	37977	+42	3328661	+5824	194202	367	92905	991	59839826	1561266	38327757	North America
Peru	3550791	+551	212438	+18	N/A	N/A	N/A	400	105101	6288	29106235	861525	33784532	South America
Switzerland	3512093	N/A	13752	+3	2996614	+30913	501727	113	400621	1569	20400357	2327047	8766629	Europe
Chile	3504783	+4113	56955	+43	3173881	+16377	273947	464	180598	2935	35991569	1854606	19406586	South America
Greece	3152477	+14763	28025	+57	2902353	+13353	222099	360	305089	2712	76125933	7367291	10332961	Europe
Denmark	2932847	+2503	5861	+24	2883451	+5327	43535	18	503208	1006	126942420	21780351	5828300	Europe
Romania	2870486	+1709	65179	+9	2606660	N/A	198647	272	150994	3429	22292521	1172636	19010608	Europe
Sweden	2491980	N/A	18472	N/A	2444490	N/A	29018	22	244056	1809	18445431	1806479	10210710	Europe
Iraq	2321630	+261	25183	+2	2287525	+608	8922	35	55516	602	18385478	439645	41818929	Asia
Serbia	1987756	+1317	15869	+7	1941588	+2158	30299	26	229134	1829	9286856	1070520	8675092	Europe
Bangladesh	1951995	+48	29123	N/A	1887323	+660	35549	1283	11647	174	13878444	82810	167592858	Asia
Hungary	1868007	+2400	45721	+37	1725324	+2304	96962	50	194241	4754	11191893	1163768	9616942	Europe
Slovakia	1745268	+3573	19523	+23	1655086	+8086	70659	149	319393	3573	6958964	1273527	5464322	Europe
Jordan	1694216	N/A	14048	N/A	1678941	N/A	1227	124	163182	1353	16670254	1605630	10382377	Asia
Georgia	1650981	+273	16766	+1	1630564	+577	3651	N/A	415277	4217	16541897	4160839	3975616	Asia
Pakistan	1526234	+141	30361	N/A	1486650	+116	9223	280	6680	133	27689870	121192	228479688	Asia
Ireland	1487164	+2843	6863	+20	1321801	+1679	158500	58	295342	1363	11910682	2365395	5035388	Europe
Norway	1414993	+1036	2667	N/A	N/A	N/A	N/A	20	257447	485	11002430	2001803	5496259	Europe
